"Channel"           "Time, ns"          "Count"             "Error"             "Fit"               "Chi^2"             
2404                6.409104e-01        1.100000e+01        3.162278e+00        1.055137e+01        1.053600e+01        
2405                6.470730e-01        1.000000e+01        3.000000e+00        1.055342e+01        1.053682e+01        
2406                6.532356e-01        1.200000e+01        3.316625e+00        1.055562e+01        1.053769e+01        
2407                6.593982e-01        1.000000e+01        3.000000e+00        1.055798e+01        1.053863e+01        
2408                6.655608e-01        1.000000e+01        3.000000e+00        1.056051e+01        1.053964e+01        
2409                6.717234e-01        8.000000e+00        2.645751e+00        1.056323e+01        1.054073e+01        
2410                6.778860e-01        1.600000e+01        3.872983e+00        1.056614e+01        1.054190e+01        
2411                6.840486e-01        7.000000e+00        2.449490e+00        1.056926e+01        1.054316e+01        
2412                6.902112e-01        1.500000e+01        3.741657e+00        1.057261e+01        1.054451e+01        
2413                6.963738e-01        9.000000e+00        2.828427e+00        1.057619e+01        1.054596e+01        
2414                7.025364e-01        1.500000e+01        3.741657e+00        1.058003e+01        1.054752e+01        
2415                7.086990e-01        7.000000e+00        2.449490e+00        1.058414e+01        1.054920e+01        
2416                7.148616e-01        6.000000e+00        2.236068e+00        1.058853e+01        1.055099e+01        
2417                7.210242e-01        1.100000e+01        3.162278e+00        1.059324e+01        1.055292e+01        
2418                7.271868e-01        7.000000e+00        2.449490e+00        1.059827e+01        1.055499e+01        
2419                7.333494e-01        1.200000e+01        3.316625e+00        1.060366e+01        1.055720e+01        
2420                7.395120e-01        1.100000e+01        3.162278e+00        1.060941e+01        1.055958e+01        
2421                7.456746e-01        1.200000e+01        3.316625e+00        1.061556e+01        1.056212e+01        
2422                7.518372e-01        9.000000e+00        2.828427e+00        1.062213e+01        1.056485e+01        
2423                7.579998e-01        1.400000e+01        3.605551e+00        1.062915e+01        1.056777e+01        
2424                7.641624e-01        1.600000e+01        3.872983e+00        1.063664e+01        1.057089e+01        
2425                7.703250e-01        9.000000e+00        2.828427e+00        1.064464e+01        1.057424e+01        
2426                7.764876e-01        1.100000e+01        3.162278e+00        1.065318e+01        1.057781e+01        
2427                7.826502e-01        1.000000e+01        3.000000e+00        1.066229e+01        1.058164e+01        
2428                7.888128e-01        1.200000e+01        3.316625e+00        1.067200e+01        1.058573e+01        
2429                7.949754e-01        1.000000e+01        3.000000e+00        1.068236e+01        1.059010e+01        
2430                8.011380e-01        1.500000e+01        3.741657e+00        1.069340e+01        1.059477e+01        
2431                8.073006e-01        6.000000e+00        2.236068e+00        1.070516e+01        1.059975e+01        
2432                8.134632e-01        1.200000e+01        3.316625e+00        1.071769e+01        1.060508e+01        
2433                8.196258e-01        1.200000e+01        3.316625e+00        1.073104e+01        1.061077e+01        
