"Channel"           "Time, ns"          "Count"             "Error"             "Resolution"        "Fit"               "Chi^2"             
2566                1.63925             128                 11.2694             382.352             154.082             0.596244            
2567                1.64541             174                 13.1529             420.186             166.427             -0.526772           
2568                1.65158             173                 13.1149             462.354             180.197             -2.20392            
2569                1.65774             166                 12.8452             509.303             195.519             0.0326314           
2570                1.6639              213                 14.5602             561.516             212.54              -0.485761           
2571                1.67006             224                 14.9332             619.51              231.517             -1.84391            
2572                1.67623             224                 14.9332             683.841             252.534             -1.08242            
2573                1.68239             258                 16.0312             755.1               275.936             -0.0472635          
2574                1.68855             301                 17.3205             833.916             301.844             -0.194691           
2575                1.69471             327                 18.0555             920.956             330.619             0.813832            
2576                1.70088             378                 19.4165             1016.93             362.579             0.110964            
2577                1.70704             400                 19.975              1122.56             397.836             -0.659488           
2578                1.7132              423                 20.5426             1238.64             436.897             -3.00632            
2579                1.71937             417                 20.3961             1365.98             479.912             1.77964             
2580                1.72553             569                 23.8328             1505.41             527.43              0.512525            
2581                1.73169             592                 24.3105             1657.8              579.783             -0.921029           
2582                1.73785             614                 24.7588             1824.05             637.287             -1.39133            
2583                1.74402             664                 25.7488             2005.07             700.554             -0.67209            
2584                1.75018             751                 27.3861             2201.8              769.757             -0.327361           
2585                1.75634             836                 28.8964             2415.17             845.63              -0.14392            
2586                1.7625              924                 30.3809             2646.13             928.447             -1.31854            
2587                1.76867             977                 31.241              2895.64             1018.88             -0.342307           
2588                1.77483             1106                33.2415             3164.62             1117.56             -0.415106           
2589                1.78099             1210                34.7707             3453.99             1224.65             -0.984498           
2590                1.78715             1305                36.1109             3764.66             1341.06             0.15728             
2591                1.79332             1473                38.3667             4097.47             1467.04             0.566381            
2592                1.79948             1626                40.3113             4453.25             1603.44             -3.03164            
2593                1.80564             1627                40.3237             4832.74             1750.81             -0.719019           
2594                1.8118              1878                43.3244             5236.65             1909.52             0.144866            
2595                1.81797             2087                45.6727             5665.59             2080.45             0.88785             
2596                1.82413             2306                48.0104             6120.07             2263.81             0.998752            
2597                1.83029             2510                50.0899             6600.54             2460.46             -0.129761           
2598                1.83645             2664                51.6043             7107.29             2670.76             -0.0431023          
2599                1.84262             2893                53.7773             7640.52             2895.34             -0.835735           
2600                1.84878             3088                55.5608             8200.29             3134.86             -0.0749347          
2601                1.85494             3385                58.1722             8786.5              3389.4              -0.621341           
2602                1.86111             3622                60.1747             9398.91             3659.71             -0.938352           
2603                1.86727             3887                62.3378             10037.1             3945.97             -0.899445           
2604                1.87343             4190                64.7225             10700.5             4248.67             1.41374             
2605                1.87959             4664                68.2862             11388.3             4568.15             -0.276329           
2606                1.88576             4885                69.8856             12099.6             4904.45             -1.01941            
2607                1.89192             5184                71.9931             12833.2             5257.91             -1.57234            
2608                1.89808             5511                74.2294             13587.7             5628.51             -1.77905            
2609                1.90424             5879                76.6681             14361.7             6016.3              -1.53139            
2610                1.91041             6299                79.3599             15153.4             6421.31             1.43192             
2611                1.91657             6962                83.4326             15960.8             6843.24             1.75117             
2612                1.92273             7432                86.2032             16781.7             7281.91             -0.818493           
2613                1.92889             7665                87.5443             17613.9             7737.07             1.57218             
2614                1.93506             8351                91.3783             18454.8             8208.11             2.32331             
2615                1.94122             8913                94.4034             19301.8             8694.82             0.697883            
2616                1.94738             9263                96.2393             20151.9             9196.18             1.67261             
2617                1.95354             9877                99.3781             21002.3             9711.6              0.253987            
2618                1.95971             10266               101.316             21849.7             10240.4             0.855482            
2619                1.96587             10870               104.254             22690.9             10781.2             1.0547              
2620                1.97203             11446               106.981             23522.6             11333.7             -1.32188            
2621                1.97819             11752               108.402             24341.4             11896               1.59578             
2622                1.98436             12646               112.45              25143.7             12467.3             1.63167             
2623                1.99052             13233               115.03              25926.2             13046.1             1.83028             
2624                1.99668             13845               117.661             26685.2             13630.6             1.87894             
2625                2.00284             14445               120.183             27417.4             14220.1             1.92975             
2626                2.00901             15048               122.666             28119.3             14812.2             0.434469            
2627                2.01517             15460               124.334             28787.6             15406.2             -0.706065           
2628                2.02133             15910               126.131             29419               15999.4             0.169955            
2629                2.0275              16612               128.884             30010.3             16590.2             0.897734            
2630                2.03366             17295               131.507             30558.7             17177.4             0.21663             
2631                2.03982             17787               133.364             31061.3             17758.2             0.658372            
2632                2.04598             18421               135.72              31515.6             18332               1.64944             
2633                2.05215             19123               138.282             31919.2             18895.7             0.429463            
2634                2.05831             19508               139.667             32270               19448.2             0.860787            
2635                2.06447             20109               141.803             32566.1             19987.4             2.86719             
2636                2.07063             20924               144.648             32806               20510.7             0.430151            
2637                2.0768              21080               145.186             32988.4             21017.8             1.6151              
2638                2.08296             21743               147.452             33112.4             21505.7             1.18287             
2639                2.08912             22149               148.822             33177.2             21973.5             -0.320827           
2640                2.09528             22371               149.566             33182.5             22419.1             -0.798513           
2641                2.10145             22720               150.728             33128.4             22840.8             -0.096738           
2642                2.10761             23223               152.388             33015.2             23237.8             -0.324609           
2643                2.11377             23558               153.483             32843.4             23608               -0.263918           
2644                2.11993             23910               154.625             32614.1             23950.9             1.15543             
2645                2.1261              24445               156.346             32328.5             24264.9             0.816612            
2646                2.13226             24677               157.086             31988.1             24549.1             0.510145            
2647                2.13842             24883               157.74              31594.8             24802.8             -1.09222            
2648                2.14458             24852               157.642             31150.7             25024.7             0.126193            
2649                2.15075             25235               158.852             30658.1             25215               1.78616             
